Autor;Ano;Emenda;UF;Município;Codigo_IBGE;Favorecido;Ação;Área;Objeto;Contato (Nome);Contato (Tel);Valor (R$)
Jean Paul Prates;2020;38860002-2020;RN;Baía Formosa;2401404.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Itajá;2404853.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Governador Dix-Sept Rosado;2404309.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Serrinha;2413508.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Água Nova;2400406.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2020;38860002-2020;RN;Serra de São Bento;2413300.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 140.000,00
Jean Paul Prates;2020;38860002-2020;RN;São José do Seridó;2412401.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 130.000,00
Jean Paul Prates;2020;38860002-2020;RN;São Paulo do Potengi;2412609.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;São José do Campestre;2412302.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Senador Elói de Souza;2413102.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;São Pedro;2412708.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;São Fernando;2411809.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Sítio Novo;2413706.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Felipe Guerra;2403707.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Severiano Melo;2413607.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Afonso Bezerra;2400307.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2020;38860002-2020;RN;Itaú;2404903.0;Fundo Municipal de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Atenção Básica Em Saúde Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2021;38860002-2021;RN;São Paulo do Potengi;2412609.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 219.995,00
Jean Paul Prates;2021;38860002-2021;RN;Pau dos Ferros;2409407.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 219.975,00
Jean Paul Prates;2021;38860002-2021;RN;Caicó;2402006.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 219.842,00
Jean Paul Prates;2021;38860002-2021;RN;Santa Maria;2409332.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 200.000,00
Jean Paul Prates;2021;38860002-2021;RN;Equador;2403400.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.995,00
Jean Paul Prates;2021;38860002-2021;RN;Afonso Bezerra;2400307.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.995,00
Jean Paul Prates;2021;38860002-2021;RN;Baía Formosa;2401404.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.991,00
Jean Paul Prates;2021;38860002-2021;RN;Jucurutu;2406106.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.929,00
Jean Paul Prates;2021;38860002-2021;RN;Canguaretama;2402204.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.911,00
Jean Paul Prates;2021;38860002-2021;RN;Extremoz;2403608.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 199.728,00
Jean Paul Prates;2021;38860002-2021;RN;Arez;2401206.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 190.000,00
Jean Paul Prates;2021;38860002-2021;RN;Acari;2400109.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Darlan Santos;84 99416-9266;R$ 189.886,00
Jean Paul Prates;2021;38860002-2021;RN;Campo Grande;2401305.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 180.000,00
Jean Paul Prates;2021;38860002-2021;RN;Campo Redondo;2402105.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 149.985,00
Jean Paul Prates;2021;38860002-2021;RN;Fernando Pedroza;2403756.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 149.974,00
Jean Paul Prates;2021;38860002-2021;RN;São João do Sabugi;2412104.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 149.948,00
Jean Paul Prates;2021;38860002-2021;RN;Serra do Mel;2413359.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 149.847,00
Jean Paul Prates;2021;38860002-2021;RN;São Miguel do Gostoso;2412559.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 139.990,00
Jean Paul Prates;2021;38860002-2021;RN;Major Sales;2407252.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 139.973,00
Jean Paul Prates;2021;38860002-2021;RN;Serrinha;2413508.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 139.821,00
Jean Paul Prates;2021;38860002-2021;RN;Olho-D'Água do Borges;2408409.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 130.000,00
Jean Paul Prates;2021;38860002-2021;RN;Encanto;2403301.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 129.968,00
Jean Paul Prates;2021;38860002-2021;RN;Rodolfo Fernandes;2411007.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 129.949,00
Jean Paul Prates;2021;38860002-2021;RN;José da Penha;2406007.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 129.915,00
Jean Paul Prates;2022;38860002-2022;RN;Natal;2408102.0;Fundo Estadual de Saúde;Incremento Temporário Ao Custeio Dos Serviços de Assistência Hospitalar e Ambulatorial Para Cumprimento de Metas-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 217.282,00
Jean Paul Prates;2023;38860002-2023;RN;Jardim do Seridó;2405702.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Lajes;2406700.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Goianinha;2404200.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Afonso Bezerra;2400307.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Poço Branco;2410108.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Janduís;2405207.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Apodi;2401008.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;Patu;2409308.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 400.000,00
Jean Paul Prates;2023;38860002-2023;RN;São Fernando;2411809.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2023;38860002-2023;RN;Campo Redondo;2402105.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 150.000,00
Jean Paul Prates;2023;38860002-2023;RN;Coronel João Pessoa;2402907.0;Município;Transferências Especiais-No Estado do Rio Grande do Norte;Encargos especiais;;Vazio;Vazio;R$ 147.603,00
Jean Paul Prates;2020;38860003-2020;DF;Brasília;;Centro de Gestão e Estudos Estratégicos;Manutenção de Contrato de Gestão Com Organizações Sociais (Lei Nº 9.637, de 15 de Maio de 1998)-Nacional;Ciência e Tecnologia;;Vazio;Vazio;R$ 100.000,00
Jean Paul Prates;2021;38860003-2021;RN;Natal;2408102.0;Secretaria de Estado do Trabalho, da Habitação e da Ass;Promoção da Inclusão Produtiva de Famílias Em Situação de Pobreza-No Estado do Rio Grande do Norte;Assistência social;Qualificar beneficiários do Programa Bolsa Família do Rio Grande do Norte com vistas a inclusão no mundo de trabalho.;Vazio;Vazio;R$ 250.000,00
Jean Paul Prates;2022;38860003-2022;RN;Ceará-Mirim;2402600.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 320.000,00
Jean Paul Prates;2022;38860003-2022;RN;São Paulo do Potengi;2412609.0;Fundo Municipal de Saúde;Estruturação da Rede de Serviços de Atenção Primária À Saúde-No Estado do Rio Grande do Norte;Saúde;;Vazio;Vazio;R$ 249.946,00
